,iso_alpha,country,energy_red_gwh_y,cost_red_musd_y,co2_red_kton_y
0,USA,United States of America,55.26,7.57,24.21
1,ESP,Spain,32.37,4.79,8.42
2,CHN,China,24.28,2.16,21.82
3,AUS,Australia,17.03,3.2,16.33
4,ARE,United Arab Emirates,45.34,4.99,25.75
5,SAU,Saudi Arabia,58.75,4.0,61.1
